#k	P(30, k)
0	9.35762296884e-014
1	2.80728689065e-012
2	4.21093033598e-011
3	4.21093033598e-010
4	3.15819775198e-009
5	1.89491865119e-008
6	9.47459325595e-008
7	4.06053996684e-007
8	1.52270248756e-006
9	5.07567495855e-006
10	1.52270248756e-005
11	4.15282496608e-005
12	0.000103820624152
13	0.000239586055736
14	0.000513398690862
15	0.00102679738172
16	0.00192524509073
17	0.00339749133659
18	0.00566248556098
19	0.00894076667523
20	0.0134111500128
21	0.0191587857326
22	0.0261256169081
23	0.0340768916193
24	0.0425961145241
25	0.0511153374289
26	0.0589792354949
27	0.0655324838833
28	0.0702133755892
29	0.0726345264716
30	0.0726345264716
31	0.0702914772306
32	0.0658982599037
33	0.0599075090033
34	0.0528595667676
35	0.0453082000866
36	0.0377568334055
37	0.0306136487071
38	0.0241686700319
39	0.01859128464
40	0.01394346348
41	0.0102025342536
42	0.00728752446688
43	0.0050843193955
44	0.00346658140602
45	0.00231105427068
46	0.00150720930697
47	0.000962048493808
48	0.00060128030863
49	0.000368130801202
50	0.000220878480721
